time,soc,speed,current,odo,voltage
1538352000037,,,1.1,,
1538352000134,,,1.2,,
1538352000435,,,1.2,,
1538352000537,,,1.3,,
1538352000835,,,1.2,,
1538352001134,,,1.2,,
1538352001339,,,1.1,,
1538352001637,,,1.1,,
1538352001836,,,1.3,,
1538352002136,,,1.2,,
1538352002433,,,1.3,,
1538352002735,,,1.1,,
1538352003037,,,1.2,,
1538352003340,,,1,,
1538352003740,,,1.1,,
1538352004235,,,1.4,,
1538352004541,,,1.2,,
1538352004837,,,1.3,,
1538352005136,,,1,,
1538352005437,,,0.9,,
1538352005837,,,1.2,,
1538352006134,,,1.5,,
1538352006435,,,1.1,,
1538352006734,,,1,,
1538352007037,,,1.1,,
1538352007537,,,1.4,,
1538352007837,,,1.3,,
1538352008140,,,1.2,,
1538352008436,,,1.1,,
1538352008836,,,1.1,,
1538352008935,,,1.2,,
1538352009238,,,1.3,,
1538352009537,,,1.4,,
1538352009837,,,1,,
1538352010135,,,1.4,,
1538352010434,,,1.1,,
1538352010837,,,1.5,,
1538352011138,,,1.2,,
1538352011634,,,1.5,,
1538352011937,,,1,,
1538352012336,,,1.2,,
1538352012637,,,1,,
1538352012933,,,1,,
1538352013035,,,1.2,,
1538352013333,,,1.5,,
1538352013633,,,1.1,,
1538352013934,,,1.1,,
1538352014033,,,1.3,,
1538352014333,,,1.1,,
1538352014633,,,1.3,,
1538352014933,,,1.4,,
1538352015234,,,1.3,,
1538352015534,,,0.9,,
1538352015834,,,1.1,,
1538352016134,,,1.3,,
1538352016434,,,1.3,,
1538352016534,,,1.2,,
1538352016834,,,1.3,,
1538352017134,,,0.9,,
1538352017734,,,1.4,,
1538352018034,,,0.9,,
1538352018434,,,1.2,,
1538352018734,,,1,,
1538352019034,,,1.2,,
1538352019334,,,1.2,,
1538352019434,,,1,,
1538352019734,,,1.2,,
1538352020034,,,1.5,,
1538352020334,,,1.4,,
1538352020634,,,1.2,,
1538352021034,,,1.6,,
1538352021335,,,1.2,,
1538352021635,,,1.3,,
1538352021935,,,1.1,,
1538352022235,,,1.1,,
1538352022635,,,1.3,,
1538352022935,,,1.3,,
1538352023035,,,1.1,,
1538352023336,,,1,,
1538352023635,,,1.2,,
1538352024135,,,1,,
1538352024435,,,1,,
1538352024536,,,1.1,,
1538352024835,,,1.3,,
1538352025135,,,1.2,,
1538352025435,,,1.1,,
1538352025735,,,1.4,,
1538352026335,,,1.5,,
1538352026635,,,1.4,,
1538352026936,,,1,,
1538352027235,,,1.3,,
1538352027536,,,1,,
1538352027935,,,1.5,,
1538352028236,,,1.2,,
1538352028535,,,1.2,,
1538352028636,,,1.4,,
1538352028936,,,1.5,,
1538352029236,,,1.3,,
1538352029536,,,0.9,,
1538352029835,,,1,,
1538352030135,,,1.4,,
1538352030436,,,1.1,,
1538352030735,,,1.1,,
1538352031035,,,1,,
1538352031336,,,1.1,,
1538352031635,,,1.2,,
1538352031935,,,0.9,,
1538352032235,,,1.4,,
1538352032735,,,1.2,,
1538352033035,,,1.1,,
1538352033335,,,1.3,,
1538352033635,,,1,,
1538352033935,,,1.2,,
1538352034236,,,1.2,,
1538352034336,,,1.1,,
1538352034736,,,1.4,,
1538352035036,,,1.1,,
1538352035336,,,1.2,,
1538352035636,,,1.5,,
1538352035935,,,1.1,,
1538352036336,,,1.4,,
1538352036635,,,1.1,,
1538352036935,,,1,,
1538352037335,,,0.9,,
1538352037635,,,1.2,,
1538352037936,,,1.2,,
1538352038035,,,1.3,,
1538352038336,,,1.2,,
1538352038636,,,1,,
1538352038936,,,0.9,,
1538352039437,,,1.5,,
1538352039736,,,1.1,,
1538352040136,,,1.5,,
1538352040436,,,1.2,,
1538352040735,,,1,,
1538352041036,,,1.2,,
1538352041336,,,1.2,,
1538352041436,,,1.5,,
1538352041736,,,1.2,,
1538352042036,,,1.3,,
1538352042335,,,1,,
1538352042636,,,1.2,,
1538352043036,,,1.2,,
1538352043136,,,1.1,,
1538352043636,,,1,,
1538352043935,,,1.2,,
1538352044236,,,1.1,,
1538352044536,,,1.2,,
1538352044836,,,1.4,,
1538352045236,,,1.2,,
1538352045536,,,1,,
1538352045836,,,1.3,,
1538352046136,,,1,,
1538352046436,,,1.1,,
1538352046736,,,1.2,,
1538352047036,,,1.3,,
1538352047336,,,1.1,,
1538352047736,,,1.3,,
1538352048036,,,1.2,,
1538352048336,,,1.1,,
1538352048636,,,1.2,,
1538352048936,,,1.1,,
1538352049236,,,1.3,,
1538352049536,,,1.2,,
1538352049836,,,1.5,,
1538352050136,,,1.4,,
1538352050436,,,0.9,,
1538352050836,,,1.1,,
1538352051236,,,1,,
1538352051636,,,1.3,,
1538352051936,,,1,,
1538352052336,,,1.4,,
1538352052636,,,1.1,,
1538352052936,,,1,,
1538352053237,,,1.1,,
1538352053537,,,1.3,,
1538352053836,,,1.2,,
1538352054136,,,1.3,,
1538352054436,,,1.1,,
1538352054736,,,1.1,,
1538352054836,,,1.3,,
1538352055236,,,1.2,,
1538352055636,,,1.4,,
1538352056037,,,1.2,,
1538352056336,,,1.1,,
1538352056636,,,1.1,,
1538352056837,,,1,,
1538352057137,,,0.9,,
1538352057437,,,1.6,,
1538352057737,,,1.2,,
1538352058237,,,1,,
1538352058537,,,1.2,,
1538352058837,,,1.4,,
1538352059137,,,1.1,,
1538352059538,,,1.1,,
1538352059638,,,1.2,,
1538352060038,,,1.5,,
